,name,link,location,pricing,rating,review_count,thumbnail
0,Atel Hotel Lasserhof,https://www.booking.com/hotel/at/hotellasserhof.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__8280&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Salzburg,US$91,7.3Good,"3,097",https://cf.bstatic.com/xdata/images/hotel/square200/119558069.jpg?k=bc88e8ca15856bf2c08e5cb109876e22e098743ab96af6057fe8ac00d9f6fe7f&o=
1,Villa Elisa,https://www.booking.com/hotel/at/villa-elisa-salzburg.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=740375901_328838998_2_2_0&highlighted_blocks=740375901_328838998_2_2_0&matching_block_id=740375901_328838998_2_2_0&sr_pri_blocks=740375901_328838998_2_2_0__9880&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Elisabeth-Vorstadt, Salzburg",US$109,9.1Superb,"1,092",https://cf.bstatic.com/xdata/images/hotel/square200/389969730.jpg?k=cfb7f9b3d2e6df55961df98fb85a2e616f51a785db49a55f70847e7def158c8a&o=
2,Leonardo Boutique Hotel Salzburg Gablerbräu,https://www.booking.com/hotel/at/star-inn-salzburg-gablerbra-u.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=35079927_91473144_0_2_0&highlighted_blocks=35079927_91473144_0_2_0&matching_block_id=35079927_91473144_0_2_0&sr_pri_blocks=35079927_91473144_0_2_0__11160&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Altstadt, Salzburg",US$123,8.3Very,good,https://cf.bstatic.com/xdata/images/hotel/square200/483622398.jpg?k=ec40cffafb841236b473517c9000320df2fe0cdb9874aef36ad189f285b47619&o=
3,Altstadt Hotel Stadtkrug,https://www.booking.com/hotel/at/stadtkrug.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=7005509_351643582_2_1_0&highlighted_blocks=7005509_351643582_2_1_0&matching_block_id=7005509_351643582_2_1_0&sr_pri_blocks=7005509_351643582_2_1_0__24800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Altstadt, Salzburg",US$273,8.4Very,good,https://cf.bstatic.com/xdata/images/hotel/square200/26873885.jpg?k=9380f7e0f4f6128941f8c52a249b44d740cd3fcf20a738a067ad1b2821fcc2d5&o=
4,Hotel Bristol Salzburg,https://www.booking.com/hotel/at/hotelbristolsalzburg.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=7018203_343351850_0_1_0&highlighted_blocks=7018203_343351850_0_1_0&matching_block_id=7018203_343351850_0_1_0&sr_pri_blocks=7018203_343351850_0_1_0__66500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Altstadt, Salzburg",US$731,8.9Fabulous,894,https://cf.bstatic.com/xdata/images/hotel/square200/31611880.jpg?k=3095299d2fdb6eccf9504fd915210e3bbd0aef7a455dae206591e2946ccf254e&o=
5,Radisson Blu Hotel Altstadt,https://www.booking.com/hotel/at/hotelaltstadtradissonblu.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=7011710_85042387_2_42_0&highlighted_blocks=7011710_85042387_2_42_0&matching_block_id=7011710_85042387_2_42_0&sr_pri_blocks=7011710_85042387_2_42_0__69500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Altstadt, Salzburg",US$764,8.7Fabulous,"1,731",https://cf.bstatic.com/xdata/images/hotel/square200/246581650.jpg?k=0018748f329017ba6e8863b5fa59c7bfcc42bb3e68a088832a818d79a7c7272a&o=
6,Altstadt Hotel Hofwirt Salzburg,https://www.booking.com/hotel/at/hofwirt.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=7043702_351492239_2_1_0&highlighted_blocks=7043702_351492239_2_1_0&matching_block_id=7043702_351492239_2_1_0&sr_pri_blocks=7043702_351492239_2_1_0__19530&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Salzburg,US$215,8.3Very,good,https://cf.bstatic.com/xdata/images/hotel/square200/354447151.jpg?k=4b36a7d554c1ba36a8e2bb05beb10bcb4d4eafe578bbaedf2a2665ce702d9322&o=
7,Goldgasse Apartments de Luxe,https://www.booking.com/hotel/at/goldgasse-apartments-de-luxe.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=706463303_295560446_2_0_0&highlighted_blocks=706463303_295560446_2_0_0&matching_block_id=706463303_295560446_2_0_0&sr_pri_blocks=706463303_295560446_2_0_0__18900&from=searchresults#hotelTmpl,"Altstadt, Salzburg",US$208,8.9Fabulous,101,https://cf.bstatic.com/xdata/images/hotel/square200/471496992.jpg?k=5e04b3e0db68fe0b21eb77a2f3650f56f9b970e1c8dddbd4351b05f482475802&o=
8,Hotel Markus Sittikus Salzburg,https://www.booking.com/hotel/at/flairhotelmarkussittikus.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=7020902_369459973_2_2_0&highlighted_blocks=7020902_369459973_2_2_0&matching_block_id=7020902_369459973_2_2_0&sr_pri_blocks=7020902_369459973_2_2_0__18584&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Salzburg,US$204,8.1Very,good,https://cf.bstatic.com/xdata/images/hotel/square200/265120270.jpg?k=47318fa74917af7cb81395553dc2c98fc34b628831744ce73ef8879d7aca65d2&o=
9,MIRABELLE Homes,https://www.booking.com/hotel/at/studio-mane.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=1099157904_383174897_2_0_0&highlighted_blocks=1099157904_383174897_2_0_0&matching_block_id=1099157904_383174897_2_0_0&sr_pri_blocks=1099157904_383174897_2_0_0__11200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Elisabeth-Vorstadt, Salzburg",US$123,10Exceptional,2,https://cf.bstatic.com/xdata/images/hotel/square200/504042493.jpg?k=7c59a9e588ad5b173a97fa23634b4df238a90693206b09df47a88d5cee45cca2&o=
